data_pnt_can_id,dev_name,msrmnt_name,data_pnt_name
24608,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 0),Cell 0 Voltage
24630,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 0),Cell 7 Voltage
24628,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 0),Cell 6 Voltage
24626,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 0),Cell 5 Voltage
24624,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 0),Cell 4 Voltage
24662,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 1),Cell 3 Voltage
24660,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 1),Cell 2 Voltage
24658,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 1),Cell 1 Voltage
24656,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 1),Cell 0 Voltage
24678,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 1),Cell 7 Voltage
24676,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 1),Cell 6 Voltage
24674,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 1),Cell 5 Voltage
24672,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 1),Cell 4 Voltage
24710,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 2),Cell 3 Voltage
24708,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 2),Cell 2 Voltage
24706,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 2),Cell 1 Voltage
24704,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 2),Cell 0 Voltage
24726,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 2),Cell 7 Voltage
24724,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 2),Cell 6 Voltage
24722,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 2),Cell 5 Voltage
24720,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 2),Cell 4 Voltage
24758,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 3),Cell 3 Voltage
24756,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 3),Cell 2 Voltage
24754,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 3),Cell 1 Voltage
24752,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 3),Cell 0 Voltage
24774,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 3),Cell 7 Voltage
24772,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 3),Cell 6 Voltage
24770,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 3),Cell 5 Voltage
24768,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 3),Cell 4 Voltage
24806,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 4),Cell 3 Voltage
24804,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 4),Cell 2 Voltage
24802,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 4),Cell 1 Voltage
24800,Battery Management System,Battery Management System Cell 0-3 Voltage (CMU 4),Cell 0 Voltage
24822,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 4),Cell 7 Voltage
24820,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 4),Cell 6 Voltage
24818,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 4),Cell 5 Voltage
24816,Battery Management System,Battery Management System Cell 4-7 Voltage (CMU 4),Cell 4 Voltage
28484,Battery Management System,Battery Management System State of Charge,SOC Percentage
28480,Battery Management System,Battery Management System State of Charge,SOC Ah
28500,Wave Sculptor,Battery Management System Pack Balance,Balance Percentage
28496,Wave Sculptor,Battery Management System Pack Balance,Balance Ah
28535,Battery Management System,Battery Management System Precharge Status,Precharge timer
28534,Battery Management System,Battery Management System Precharge Status,Timer flag
28529,Battery Management System,Battery Management System Precharge Status,Precharge State
28528,Battery Management System,Battery Management System Precharge Status,Contactor status
28551,Battery Management System,Battery Management System Min Max Cell Voltage,Cell number max cell
28550,Battery Management System,Battery Management System Min Max Cell Voltage,CMU number max cell
28549,Battery Management System,Battery Management System Min Max Cell Voltage,Cell number min cell
28548,Battery Management System,Battery Management System Min Max Cell Voltage,CMU number min cell
28546,Battery Management System,Battery Management System Min Max Cell Voltage,Max cell voltage
28544,Battery Management System,Battery Management System Min Max Cell Voltage,Min cell voltage
28566,Battery Management System,Battery Management System Min Max Cell Temp,CMU number max temp
28564,Battery Management System,Battery Management System Min Max Cell Temp,CMU number min temp
28562,Battery Management System,Battery Management System Min Max Cell Temp,Max cell temperature
28560,Battery Management System,Battery Management System Min Max Cell Temp,Min cell temperature
28576,Battery Management System,Battery Management System Pack Voltage Current,Battery voltage
28580,Battery Management System,Battery Management System Pack Voltage Current,Battery Current
28598,Battery Management System,Battery Management System Pack Status,BMU Firmware build number
28597,Battery Management System,Battery Management System Pack Status,CMU count
28596,Battery Management System,Battery Management System Pack Status,Status Flags
28594,Battery Management System,Battery Management System Pack Status,Balance voltage threshold falling mV
28592,Battery Management System,Battery Management System Pack Status,Balance voltage threshold rising mV
28614,Battery Management System,Battery Management System Fan Status,12V current CMUs
28612,Battery Management System,Battery Management System Fan Status,12V current fans / contactors
28610,Battery Management System,Battery Management System Fan Status,Fan speed 1
28608,Battery Management System,Battery Management System Fan Status,Fan speed 0
28629,Battery Management System,Battery Management System Ext Pack Status,BMU model ID
28628,Battery Management System,Battery Management System Ext Pack Status,BMU hardware version
28624,Battery Management System,Battery Management System Ext Pack Status,Extended status flags
28692,Max Power Point Tracker 1,Max Power Point Tracker 1 Power,Amps
28688,Max Power Point Tracker 1,Max Power Point Tracker 1 Power,Volts
28710,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Ambient Temp
28709,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Vout
28708,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Vout
28707,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Amps In
28706,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Amps In
28705,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Vin
28704,Max Power Point Tracker 1,Max Power Point Tracker 1 Status,Status / Vin
28756,Max Power Point Tracker 2,Max Power Point Tracker 2 Power,Amps
28752,Max Power Point Tracker 2,Max Power Point Tracker 2 Power,Volts
28774,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Ambient Temp
28773,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Vout
28772,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Vout
28771,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Amps In
28770,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Amps In
28769,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Vin
28768,Max Power Point Tracker 2,Max Power Point Tracker 2 Status,Status / Vin
28820,Max Power Point Tracker 3,Max Power Point Tracker 3 Power,Amps
28816,Max Power Point Tracker 3,Max Power Point Tracker 3 Power,Volts
28838,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Ambient Temp
28837,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Vout
28836,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Vout
28835,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Amps In
28834,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Amps In
28833,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Vin
28832,Max Power Point Tracker 3,Max Power Point Tracker 3 Status,Status / Vin
13328,Telemetry Calculated Data,Array 1 Power,Array 1 Power
13344,Telemetry Calculated Data,Array 2 Power,Array 2 Power
13360,Telemetry Calculated Data,Array 3 Power,Array 3 Power
13376,Telemetry Calculated Data,Total Array Power,Total Array Power
13392,Telemetry Calculated Data,Bus Power,Total Bus Power
13408,Telemetry Calculated Data,Net Power Position,Net Power Position
28518,Battery Management System,Battery Management System Charger Control,Total pack capacity
28516,Battery Management System,Battery Management System Charger Control,Discharge cell voltage error
28514,Battery Management System,Battery Management System Charger Control,Cell temperature margin
28512,Battery Management System,Battery Management System Charger Control,Charge cell voltage error
